Issue Date,Issue Time,Ticket No,Code,Description,Officer,Block,Location,Latitude,Longitude
1/21/16,10:46 AM,105018765,3,Overtime prkg 1hr-2hr-3hr-4hr-5h,RIVERA,16 N,MADISON AVE,34.1461233,-118.13856
1/21/16,10:44 AM,108027248,15,No parking anytime,VARELA,300 E,WALNUT ST,34.1496816,-118.14357
1/21/16,10:44 AM,115015680,1,Expired meter,DIAZ Y,99 S,LAKE AVE,34.14401,-118.13218
1/21/16,10:44 AM,114011377,9,Red zone no stop park or stand,FLORES,910 E,GREEN ST,34.1445533,-118.13131
1/21/16,10:43 AM,105018764,3,Overtime prkg 1hr-2hr-3hr-4hr-5h,RIVERA,701 E,COLORADO BLVD,34.1458633,-118.13641
1/21/16,10:41 AM,122016210,3,Overtime prkg 1hr-2hr-3hr-4hr-5h,OROZCO D,140,CHESTNUT ST,34.1504333,-118.1476
1/21/16,10:39 AM,122016209,9,Red zone no stop park or stand,OROZCO D,140,CHESTNUT ST,34.1504333,-118.14775
1/21/16,10:38 AM,105018763,3,Overtime prkg 1hr-2hr-3hr-4hr-5h,RIVERA,825 E,COLORADO BLVD,34.1458916,-118.13324
1/21/16,10:38 AM,108027247,15,No parking anytime,VARELA,300 E,WALNUT ST,34.1496483,-118.14365
1/21/16,10:35 AM,105018762,3,Overtime prkg 1hr-2hr-3hr-4hr-5h,RIVERA,920 E,BOSTON CT,34.147285,-118.13124
1/21/16,10:33 AM,105018761,3,Overtime prkg 1hr-2hr-3hr-4hr-5h,RIVERA,910 E,BOSTON CT,34.14725,-118.13205
1/21/16,10:33 AM,102018105,1,Expired meter,VERDUZCO,222 N,GARFIELD AVE,34.1501716,-118.1451
1/21/16,10:31 AM,102018104,1,Expired meter,VERDUZCO,221 N,GARFIELD AVE,34.1501216,-118.14518
1/21/16,10:31 AM,115015679,1,Expired meter,DIAZ Y,368 S,LAKE AVE,34.1394816,-118.13229
1/21/16,10:31 AM,108027246,1,Expired meter,VARELA,207 N,GARFIELD AVE,34.14883,-118.1443
1/21/16,10:30 AM,102018103,1,Expired meter,VERDUZCO,221 N,GARFIELD AVE,34.1500916,-118.14519
1/21/16,10:29 AM,108027245,1,Expired meter,VARELA,207 N,GARFIELD AVE,34.1486983,-118.14441
1/21/16,10:24 AM,105018760,3,Overtime prkg 1hr-2hr-3hr-4hr-5h,RIVERA,665 E,GREEN ST,34.1445333,-118.13633
1/21/16,10:22 AM,122016208,1,Expired meter,OROZCO D,157 S,LOS ROBLES AVE,34.1429466,-118.14115
1/21/16,10:21 AM,115015678,1,Expired meter,DIAZ Y,415 S,LAKE AVE,34.1384466,-118.13238
1/21/16,10:19 AM,122016207,1,Expired meter,OROZCO D,139 S,LOS ROBLES AVE,34.1431716,-118.14142
1/21/16,10:16 AM,115015677,1,Expired meter,DIAZ Y,345 S,LAKE AVE,34.1398233,-118.13239
1/21/16,10:14 AM,122016206,30,Double parking,OROZCO D,280 S,EUCLID AVE,34.1412033,-118.14294
1/21/16,10:09 AM,122016205,9,Red zone no stop park or stand,OROZCO D,241 S,EUCLID AVE,34.1414633,-118.14296
1/21/16,10:06 AM,108027244,1,Expired meter,VARELA,168 N,EUCLID AVE,34.148915,-118.1429
1/21/16,10:03 AM,108027243,1,Expired meter,VARELA,164 N,EUCLID AVE,34.148665,-118.14294
1/21/16,10:00 AM,108027242,1,Expired meter,VARELA,106 N,GARFIELD AVE,34.148125,-118.14417
1/21/16,9:57 AM,102018102,4,No current registration tab,VERDUZCO,760 E,WASHINGTON BLVD,34.1688866,-118.1347
1/21/16,9:55 AM,114011376,13,Illegal prkg in pref prkig dist,FLORES,1535 E,SAN PASQUAL ST,34.1378483,-118.11854
1/21/16,9:52 AM,108027241,1,Expired meter,VARELA,61 N,GARFIELD AVE,34.1462366,-118.14405
1/21/16,9:45 AM,122016204,9,Red zone no stop park or stand,OROZCO D,958 S,FAIR OAKS AVE,34.129545,-118.15031
1/21/16,9:43 AM,108027240,1,Expired meter,VARELA,207 N,GARFIELD AVE,34.1487166,-118.14442
1/21/16,9:42 AM,116018605,14,20 min yell/grn zone/3 min white,SOLIS,36  N,DE LACEY AVE,34.1464933,-118.15226
1/21/16,9:37 AM,122016203,13,Illegal prkg in pref prkig dist,OROZCO D,25 W,STATE ST,34.1254883,-118.15097
1/21/16,9:37 AM,115015676,1,Expired meter,DIAZ Y,345 S,LAKE AVE,34.1399283,-118.13239
1/21/16,9:36 AM,117023392,13,Illegal prkg in pref prkig dist,MACIAS G,1739 E,VILLA ST,34.1544066,-118.1145
