Block Number,Color,Comment Location,Is Meter Violation,Is Warning?,Issue Date,License,Location,Make,Officer,Registration End Month,Registration End Year,State,Style,Under Appeal,Violation Base Amount,Violation Code
1449,Black,DIST: OTHER,0,0,7/1/2015 2:07:50 AM,7BBC202,MONTE VISTA ST,Jeep,BENITEZ,08-August,2016,CALIFORNIA,Sports Utility Veh,0,46.9,Overnight parking 2am-6am
251 E,Silver,DIST: OTHER,0,0,7/1/2015 2:08:35 AM,6UAD079,DE LACEY AVE,Honda,DIAZ E,02-February,2016,CALIFORNIA,Sports Utility Veh,0,46.9,Overnight parking 2am-6am
1545,Red,DIST: OTHER,0,0,7/1/2015 2:09:57 AM,7JBT193,MONTE VISTA ST,Toyota,BENITEZ,12-December,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
1662,Red,DIST: OTHER,0,0,7/1/2015 2:12:58 AM,37679S1,MONTE VISTA ST,Ford,BENITEZ,04-April,2016,CALIFORNIA,Truck,0,46.9,O/n pkg comm/oversize veh 10p-6a
18 N,White,DIST: OTHER,0,0,7/1/2015 2:13:01 AM,5CNS651,DE LACEY AVE,Dodge,DIAZ E,06-June,2015,CALIFORNIA,Van,0,46.9,Overnight parking 2am-6am
18 N,Silver,DIST: OTHER,0,0,7/1/2015 2:14:12 AM,60160T1,DE LACEY AVE,Toyota,DIAZ E,04-April,2016,CALIFORNIA,Truck,0,46.9,Overnight parking 2am-6am
2660,Blue,DIST: OTHER,0,0,7/1/2015 2:19:15 AM,4F24861,DEODAR CIR,Ford,BENITEZ,02-February,2016,CALIFORNIA,Truck,0,46.9,Overnight parking 2am-6am
1435,Black,DIST: OTHER,0,0,7/1/2015 2:28:08 AM,CTUA62,LAS LUNAS ST,Toyota,BENITEZ,06-June,2016,FLORIDA,Four Door,0,46.9,Overnight parking 2am-6am
1428,Silver,DIST: OTHER,0,0,7/1/2015 2:29:32 AM,5UJK674,LAS LUNAS ST,Toyota,BENITEZ,05-May,2016,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
1357 N,Black,DIST: OTHER,0,0,7/1/2015 2:30:18 AM,6TUD963,HOLLISTON AVE,Toyota,DIAZ E,01-January,2016,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
1423,Red,DIST: OTHER,0,0,7/1/2015 2:31:17 AM,6EGF343,LAS LUNAS ST,Kia,BENITEZ,07-July,2016,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
441 N,Black,DIST: OTHER,0,0,7/1/2015 2:39:13 AM,7CYJ401,MENTOR AVE,BMW,DIAZ E,02-February,2015,CALIFORNIA,Two Door,0,46.9,Overnight parking 2am-6am
2111,Black,DIST: OTHER,0,0,7/1/2015 2:39:30 AM,6VSB542,LOMA VISTA ST,Audi,BENITEZ,03-March,2016,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
870 N,Black,DIST: OTHER,0,0,7/1/2015 2:42:37 AM,7BIR869,MENTOR AVE,Ford,DIAZ E,08-August,2015,CALIFORNIA,Sports Utility Veh,0,46.9,Overnight parking 2am-6am
2254 E,Blue,DIST: OTHER,0,0,7/1/2015 2:45:48 AM,XMASEAV,MOUNTAIN ST,Acura,BENITEZ,09-September,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
2480 E,Red,DIST: OTHER,0,0,7/1/2015 2:48:28 AM,7LHX305,MOUNTAIN ST,Chevrolet,BENITEZ,06-June,2016,CALIFORNIA,Sports Utility Veh,0,46.9,Overnight parking 2am-6am
1264 N,Black,DIST: OTHER,0,0,7/1/2015 2:48:35 AM,6VEG243,CATALINA AVE,Honda,DIAZ E,01-January,2016,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
1336 N,Black,DIST: OTHER,0,0,7/1/2015 2:50:43 AM,5KHX036,CATALINA AVE,Honda,DIAZ E,09-September,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
2090,Blue,DIST: OTHER,0,0,7/1/2015 2:52:42 AM,BP48W,DUDLEY ST,Nissan,BENITEZ,12-December,2015,TEXAS,Four Door,0,46.9,Overnight parking 2am-6am
1064 N,Gray,DIST: OTHER,0,0,7/1/2015 2:52:42 AM,7EQE530,CATALINA AVE,Mazda,DIAZ E,04-April,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
2403,White,DIST: OTHER,0,0,7/1/2015 2:56:28 AM,7KVN283,COOLEY PL,Toyota,BENITEZ,05-May,2016,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
1030 N,Gray,DIST: OTHER,0,0,7/1/2015 2:58:30 AM,2S08673,ALTADENA DR,Chevrolet,BENITEZ,07-July,2015,CALIFORNIA,Two Door,0,46.9,Overnight parking 2am-6am
450 N,Blue,DIST: OTHER,0,0,7/1/2015 2:59:15 AM,7DQE921,MENTOR AVE,Scion,DIAZ E,02-February,2016,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
532 N,Black,DIST: OTHER,0,0,7/1/2015 3:01:34 AM,7LUN893,MENTOR AVE,Mercedes-Benz,DIAZ E,12-December,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
550 N,Silver,DIST: OTHER,0,0,7/1/2015 3:04:19 AM,5XSM189,MENTOR AVE,Dodge,DIAZ E,02-February,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
1650,Blue,DIST: OTHER,0,0,7/1/2015 3:04:52 AM,6XLP447,CASA GRANDE ST,Toyota,BENITEZ,10-October,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
564 N,Blue,DIST: OTHER,0,0,7/1/2015 3:06:07 AM,7JXN144,MENTOR AVE,Toyota,DIAZ E,02-February,2016,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
965 N,White,DIST: OTHER,0,0,7/1/2015 3:07:26 AM,8F27820,SIERRA BONITA AVE,Ford,BENITEZ,09-September,2015,CALIFORNIA,Truck,0,46.9,Overnight parking 2am-6am
